"","WageGroup","EduGroup","IndustryGroup","JobGroup","RiskGroup","AgeGroup","Sex","sum_Employment"
"151","0",1,"3","4","2","7",2,37.345
"152","0",1,"3","5","3","5",2,58.28
"153","0",1,"3","5","3","7",2,145.715
"154","0",1,"3","7","2","2",2,117.488
"155","0",1,"3","7","2","5",2,619.742
"156","0",1,"3","7","2","6",1,40.23
"157","0",1,"3","7","2","6",2,1094.918
"158","0",1,"3","7","2","7",1,32.925
"159","0",1,"3","7","2","7",2,319.291
"160","0",1,"3","7","3","7",2,68.168
"161","0",1,"3","8","2","5",1,49.34
"162","0",1,"3","8","3","2",1,150.459
"163","0",1,"3","8","3","4",1,194.239
"164","0",1,"3","8","3","5",1,43.008
"165","0",1,"3","8","3","5",2,381.595
"166","0",1,"3","8","3","6",2,775.407
"167","0",1,"3","9","2","3",2,425.206
"168","0",1,"3","9","2","4",2,715.374
"169","0",1,"3","9","2","5",1,265.086
"170","0",1,"3","9","2","5",2,1979.418
"171","0",1,"3","9","2","6",1,82.142
"172","0",1,"3","9","2","6",2,3513.424
"173","0",1,"3","9","2","7",1,676.072
"174","0",1,"3","9","2","7",2,2594.727
"175","0",1,"3","9","3","6",2,60.403
"176","0",1,"5","8","2","5",1,115.774
"177","0",1,"6","7","1","5",1,160.54
"178","0",1,"6","7","2","4",1,257.281
