"","V20","EduGroup","RiskGroup","sum_Employment"
"194",104,3,"2",3460.326
"195",104,3,"3",255.616
"196",104,4,"2",368.144
"197",104,4,"3",362.789
"198",104,5,"1",103.509
"199",104,5,"2",401.628
"200",104,5,"3",396.473
"201",105,0,"2",120.238
"202",105,1,"2",567.115
"203",105,2,"2",886.042
"204",105,2,"3",218.148
"205",105,3,"1",154.578
"206",105,3,"2",3462.713
"207",105,3,"3",1400.088
"208",105,4,"1",273.107
"209",105,4,"2",1531.6
"210",105,4,"3",374.798
"211",105,5,"1",456.933
"212",105,5,"2",1750.07
"213",105,5,"3",2547.373
"214",105,6,"3",158.188
"215",106,0,"2",263.543
"216",106,0,"3",40.937
"217",106,1,"2",2469.247
"218",106,1,"3",185.788
"219",106,2,"2",3129.516
"220",106,2,"3",523.471
"221",106,3,"2",8984.988
"222",106,3,"3",1258.987
"223",106,4,"2",1787.653
"224",106,4,"3",1154.601
"225",106,5,"1",209.284
"226",106,5,"2",2563.966
"227",106,5,"3",1745.239
"228",106,6,"2",22
"229",106,6,"3",170.537
"230",107,0,"2",2282.725
"231",107,0,"3",150.188
"232",107,1,"2",11940.748
"233",107,1,"3",1367.608
"234",107,2,"2",22066.443
"235",107,2,"3",3000.918
"236",107,3,"1",382.527
"237",107,3,"2",70697.737
"238",107,3,"3",16481.846
"239",107,4,"1",1033.329
"240",107,4,"2",16418.908
"241",107,4,"3",7553.485
"242",107,5,"1",4173.174
"243",107,5,"2",16749.899
"244",107,5,"3",16611.287
"245",107,6,"1",1308.636
"246",107,6,"2",492.674
"247",107,6,"3",1330.852
"248",107,7,"1",636.996
"249",107,7,"2",161.463
"250",108,1,"2",414.56
"251",108,2,"2",696.821
"252",108,3,"1",53.73
"253",108,3,"2",2536.833
"254",108,3,"3",761.875
"255",108,4,"2",886.309
"256",108,4,"3",1098.387
"257",108,5,"2",1119.682
"258",108,5,"3",1581.413
"259",111,1,"2",537.707
"260",111,2,"2",635.894
"261",111,2,"3",94.634
"262",111,3,"2",2533.147
"263",111,3,"3",618.161
"264",111,4,"2",1082.491
"265",111,4,"3",656.835
"266",111,5,"1",484.765
"267",111,5,"2",2307.566
"268",111,5,"3",1778.343
"269",111,6,"1",676.979
"270",111,6,"2",507.962
"271",111,6,"3",99.432
"272",111,7,"2",81.648
"273",111,7,"3",105.776
"274",112,1,"2",197.038
"275",112,2,"2",316.906
"276",112,3,"2",3670.347
"277",112,3,"3",953.232
"278",112,4,"2",421.494
"279",112,4,"3",460.225
"280",112,5,"2",628.473
"281",112,5,"3",1865.204
"282",112,6,"2",91.908
"283",112,6,"3",175.132
"284",120,1,"2",58.566
"285",120,3,"2",451.469
"286",120,4,"2",727.108
"287",120,4,"3",182.234
"288",120,5,"2",634.113
"289",120,5,"3",360.441
"290",131,0,"3",47.615
"291",131,1,"2",253.837
"292",131,1,"3",501.365
"293",131,2,"2",881.546
"294",131,2,"3",1183.64
"295",131,3,"1",146.725
"296",131,3,"2",1234.73
"297",131,3,"3",6900.393
"298",131,4,"1",45.703
"299",131,4,"2",194.036
"300",131,4,"3",1135.104
"301",131,5,"1",50.705
