"","V21","EduGroup","RiskGroup","sum_Employment"
"1",111,1,"1",442.126
"2",111,2,"1",310.806
"3",111,3,"1",498.871
"4",111,4,"1",434.242
"5",111,5,"1",2702.995
"6",111,6,"1",2369.977
"7",111,7,"1",1550.73
"8",112,3,"1",185.144
"9",112,5,"1",2967.12
"10",112,6,"1",698.744
"11",120,1,"1",273.048
"12",120,3,"1",2105.746
"13",120,4,"1",780.455
"14",120,5,"1",27154.743
"15",120,6,"1",10251.32
"16",120,7,"1",3206.577
"17",131,3,"1",134.517
"18",131,4,"1",999.753
"19",131,5,"1",16173.26
"20",131,6,"1",22966.707
"21",131,7,"1",5163.521
"22",132,0,"1",47.838
"23",132,2,"1",1301.401
"24",132,3,"1",7101.087
"25",132,4,"1",3326.987
"26",132,5,"1",25891.376
"27",132,6,"1",7195.537
"28",133,3,"1",361.304
"29",133,4,"1",1895.102
"30",133,5,"1",4133.092
"31",133,6,"1",2161.014
"32",133,7,"1",2285.019
"33",134,5,"1",1044.428
"34",134,6,"1",1317.228
"35",134,7,"1",375.624
"36",135,2,"1",35.201
"37",135,3,"1",105.328
"38",135,4,"1",589.251
"39",135,5,"1",2199.362
"40",135,6,"1",2065.635
"41",139,1,"1",114.071
"42",139,3,"1",323.629
"43",139,4,"1",1025.474
"44",139,5,"1",5314.304
"45",139,6,"1",63.901
"46",139,7,"1",807.73
"47",141,1,"1",635.733
"48",141,2,"1",238.497
"49",141,3,"1",12210.843
"50",141,4,"1",7860.388
"51",141,5,"1",46600.262
"52",141,6,"1",4890.623
"53",141,7,"1",206.998
"54",149,3,"1",324.583
"55",149,5,"1",45.573
"56",151,2,"2",469.092
"57",151,3,"2",7796.089
"58",151,4,"2",4255.519
"59",151,5,"2",24298.663
"60",151,6,"2",3048.476
"61",151,7,"2",1258.912
"62",152,3,"1",3139.565
"63",152,4,"1",2426.552
"64",152,5,"1",7794.425
"65",152,6,"1",1644.45
"66",152,7,"1",200.488
"67",153,3,"1",941.853
"68",153,4,"1",93.284
"69",153,5,"1",453.996
"70",159,5,"1",160.262
"71",211,3,"1",250.571
"72",211,4,"1",146.685
"73",211,5,"1",18590.697
"74",211,6,"1",17922.5
"75",211,7,"1",16948.715
"76",212,5,"1",5773.732
"77",212,6,"1",4414.457
"78",212,7,"1",5286.883
"79",213,2,"2",142.793
"80",213,3,"2",348.794
"81",213,4,"2",1083.615
"82",213,5,"2",6218.322
"83",213,6,"2",1927.859
"84",213,7,"2",2435.79
"85",221,4,"1",904.551
"86",221,5,"1",26630.35
"87",221,6,"1",9775.717
"88",221,7,"1",5412.115
"89",222,1,"1",172.061
"90",222,3,"1",9954.782
"91",222,4,"1",40840.487
"92",222,5,"1",216784.853
"93",222,6,"1",35561.265
"94",222,7,"1",5584.183
"95",223,3,"2",5010.44
"96",223,4,"2",12684.106
"97",223,5,"2",47858.036
"98",223,6,"2",6565.531
"99",223,7,"2",540.558
"100",224,3,"2",1229.184
"101",224,4,"2",1944.502
"102",224,5,"2",3809.409
