"","IndustryGroup","JobGroup","RiskGroup","sum_Employment"
"202","13","1","1",14021.784
"203","13","1","2",2895.481
"204","13","2","1",536071.453
"205","13","2","2",125357.348
"206","13","3","2",7551.728
"207","13","3","3",342222.308
"208","13","4","1",242.097
"209","13","4","2",9655.876
"210","13","5","2",18554.757
"211","13","5","3",1686.33
"212","13","6","2",505.357
"213","13","7","1",2657.799
"214","13","7","2",6324.599
"215","13","7","3",2296.858
"216","13","8","2",2931.033
"217","13","8","3",8863.465
"218","13","9","2",14035.171
"219","13","9","3",772.295
"220","14","1","1",3863.359
"221","14","1","2",108.231
"222","14","2","1",54016.349
"223","14","2","2",13387.703
"224","14","3","2",41076.946
"225","14","3","3",169272.964
"226","14","4","1",1488.274
"227","14","4","2",89315.579
"228","14","4","3",1873.51
"229","14","5","2",5238.013
"230","14","5","3",40733.277
"231","14","6","2",7941.694
"232","14","7","1",12031.824
"233","14","7","2",52890.334
"234","14","7","3",27371.971
"235","14","8","2",27326.806
"236","14","8","3",56302.094
"237","14","9","2",628258.802
"238","14","9","3",31073.344
"239","15","1","1",11976.971
"240","15","2","1",75046.785
"241","15","2","2",16236.791
"242","15","3","2",379303.329
"243","15","3","3",96300.045
"244","15","4","1",172828.613
"245","15","4","2",23664.879
"246","15","4","3",26.019
"247","15","5","2",692.988
"248","15","5","3",633.41
"249","15","6","2",906.988
"250","15","7","1",1202.733
"251","15","7","2",12770.232
"252","15","7","3",1006.489
"253","15","8","2",10745.655
"254","15","8","3",5366.377
"255","15","9","2",212662.733
"256","15","9","3",10874.057
"257","16","1","1",39684.428
"258","16","1","2",312.479
"259","16","2","1",1437770.285
"260","16","2","2",17820.8
"261","16","3","2",68844.839
"262","16","3","3",170364.089
"263","16","4","2",66909.073
"264","16","4","3",216.855
"265","16","5","2",558.2
"266","16","5","3",1345.948
"267","16","6","2",871.093
"268","16","7","1",449.853
"269","16","7","2",763.892
"270","16","7","3",4091.934
"271","16","8","2",25916.593
"272","16","8","3",5211.452
"273","16","9","2",60559.368
"274","16","9","3",25209.671
"275","17","1","1",10804.463
"276","17","2","1",770335.192
"277","17","2","2",375143.079
"278","17","3","2",52226.356
"279","17","3","3",115272.921
"280","17","4","1",15284.239
"281","17","4","2",348344.132
"282","17","4","3",799.243
"283","17","5","2",743.315
"284","17","5","3",2508.149
"285","17","6","2",12.284
"286","17","7","1",83.023
"287","17","7","2",6763.765
"288","17","7","3",695.497
"289","17","8","2",13928.309
"290","17","8","3",8154.845
"291","17","9","2",149115.431
"292","17","9","3",41454.825
"293","18","1","1",2287.026
"294","18","2","1",117587.026
"295","18","2","2",29947.281
"296","18","3","2",16221.062
"297","18","3","3",40899.624
"298","18","4","2",136778.925
"299","18","4","3",2093.691
"300","18","5","2",936.766
"301","18","5","3",23132.397
"302","18","6","2",3809.476
"303","18","7","1",1162.956
"304","18","7","2",3325.479
"305","18","7","3",176.27
"306","18","8","2",946.716
"307","18","8","3",3907.454
"308","18","9","2",28065.599
"309","18","9","3",3999.016
"310","19","1","1",1970.753
"311","19","1","2",701.3
"312","19","2","1",156039.792
"313","19","2","2",11328.013
"314","19","3","2",9193.471
"315","19","3","3",108389.155
"316","19","4","1",48574.174
"317","19","4","2",359182.915
"318","19","4","3",3505.091
"319","19","5","2",4913.087
"320","19","5","3",19516.951
"321","19","6","2",37.919
"322","19","7","1",3357.562
"323","19","7","2",262681.698
"324","19","7","3",38117.409
"325","19","8","2",30549.152
"326","19","8","3",32037.056
"327","19","9","2",167332.074
"328","19","9","3",11303.819
"329","20","2","1",166.772
"330","20","2","2",31.68
"331","20","4","2",1785.278
"332","20","7","2",166.097
"333","20","8","2",88.251
"334","20","9","2",68125.342
"335","21","2","1",681.702
"336","21","2","2",727.245
"337","21","3","2",1824.55
"338","21","3","3",3960.319
"339","21","4","1",105.35
"340","21","4","2",893.905
"341","21","4","3",207.089
"342","21","5","3",143.931
"343","21","7","1",124.399
"344","21","7","2",539.513
"345","21","7","3",156.443
"346","21","8","2",431.679
"347","21","8","3",208.545
"348","21","9","2",909.087
"349",NA,NA,NA,17120627.485
